Adria Airways,JP,165,ADR,Slovenia
Aegean Airlines,A3,390,AEE,Greece
Aer Lingus,EI,53,EIN,Ireland
Aero Contractors,NG,708,NIG,Nigeria
Aero República,P5,845,RBP,Colombia
Aeroflot,SU,555,AFL,Russian Federation
Aerolineas Argentinas,AR,44,ARG,Argentina
Aerolineas Galapagos S.A. Aerogal,2K,547,GLG,Ecuador
Aeromexico,AM,139,AMX,Mexico
Afriqiyah Airways,8U,546,AAW,Libya
Aigle Azur,ZI,439,AAF,France
Air Algérie,AH,124,DAH,Algeria
Air Arabia,G9,514,ABY,United Arab Emirates
Air Astana,KC,465,KZR,Kazakhstan
Air Austral,UU,760,REU,Réunion
Air Baltic,BT,657,BTI,Latvia
Air Berlin,AB,745,BER,Germany
Air Botswana,BP,636,BOT,Botswana
Air Burkina,2J,226,VBW,Burkina Faso
Air Cairo,SM,381,MSC,Egypt
Air Caledonie,TY,190,TPC,New Caledonia
Air Canada,AC,14,ACA,Canada
Air China Limited,CA,999,CCA,China (People's Republic of)
Air Corsica,XK,146,CCM,France
Air Europa,UX,996,AEA,Spain
Air France,AF,57,AFR,France
Air India,AI,98,AIC,India
Air Koryo,JS,120,KOR,"Korea, Democratic People's Republic of"
Air Macau,NX,675,AMU,"Macao SAR, China"
Air Madagascar,MD,258,MDG,Madagascar
Air Malta,KM,643,AMC,Malta
Air Mauritius,MK,239,MAU,Mauritius
Air Moldova,9U,572,MLD,"Moldova, Republic of"
Air Namibia,SW,186,NMB,Namibia
Air New Zealand,NZ,86,ANZ,New Zealand
Air Niugini,PX,656,ANG,Independent State of Papua New Guinea
Air Nostrum,YW,694,ANE,Spain
Air SERBIA a.d. Beograd,JU,115,ASL,Serbia
Air Seychelles,HM,61,SEY,Seychelles
Air Tahiti,VT,135,VTA,French Polynesia
Air Tahiti Nui,TN,244,THT,French Polynesia
Air Transat,TS,649,TSC,Canada
AirBridgeCargo Airlines,RU,580,ABW,Russian Federation
Aircalin,SB,63,ACI,New Caledonia
Airlink,4Z,749,,South Africa
Alaska Airlines,AS,27,ASA,United States
Alitalia,AZ,55,AZA,Italy
All Nippon Airways,NH,205,ANA,Japan
Allied Air,4W,574,AJK,Nigeria
AlMasria Universal Airlines,UJ,110,LMU,Egypt
American Airlines,AA,1,AAL,United States
Arik Air,W3,725,ARA,Nigeria
Arkia Israeli Airlines,IZ,238,AIZ,Israel
Asiana,OZ,988,AAR,Korea
Atlas Air,5Y,369,GTI,United States
AtlasGlobal,KK,610,KKK,Turkey
Austral,AU,143,AUT,Argentina
Austrian,OS,257,AUA,Austria
AVIANCA,AV,134,AVA,Colombia
Avianca Brasil,O6,247,ONE,Brazil
Azerbaijan Airlines,J2,771,AHY,Azerbaijan
Azul Brazilian Airlines,AD,577,AZU,Brazil
Bahamasair,UP,111,BHS,Bahamas
Bangkok Air,PG,829,BKP,Thailand
Belavia - Belarusian Airlines,B2,628,BRU,Belarus
BH AIR,8H,366,BGH,Bulgaria
Biman,BG,997,BBC,Bangladesh
Binter Canarias,NT,474,IBB,Spain
Blue Air,0B,475,BMS,Romania
Blue Panorama,BV,4,BPA,Italy
bmi Regional,BM,480,BMR,United Kingdom
Boliviana de Aviación - BoA,OB,930,BOV,Bolivia
Braathens Regional Aviation AB,TF,276,SCW,Sweden
British Airways,BA,125,BAW,United Kingdom
Brussels Airlines,SN,82,BEL,Belgium
Bulgaria air,FB,623,LZB,Bulgaria
C.A.L. Cargo Airlines,5C,700,ICL,Israel
Camair-Co,QC,40,,Cameroon
Capital Airlines,JD,898,CBJ,China (People's Republic of)
Cargojet Airways,W8,489,CJT,Canada
Cargolux S.A.,CV,172,CLX,Luxembourg
Caribbean Airlines,BW,106,BWA,Trinidad and Tobago
Carpatair,V3,21,KRP,Romania
Cathay Pacific,CX,160,CPA,"Hong Kong SAR, China"
China Airlines,CI,297,CAL,Chinese Taipei
China Cargo Airlines,CK,112,,China (People's Republic of)
China Eastern,MU,781,CES,China (People's Republic of)
China Postal Airlines,CF,804,CYZ,China (People's Republic of)
China Southern Airlines,CZ,784,CSN,China (People's Republic of)
CityJet,WX,689,BCY,Ireland
Comair,MN,161,CAW,South Africa
Condor,DE,881,CFG,Germany
COPA Airlines,CM,230,CMP,Panama
Corendon Airlines,XC,395,CAI,Turkey
Corsair International,SS,923,CRL,France
Croatia Airlines,OU,831,CTN,Croatia
Cubana,CU,136,CUB,Cuba
Czech Airlines j.s.c,OK,64,CSA,Czech Republic
Delta Air Lines,DL,6,DAL,United States
DHL Air,D0,936,DHK,United Kingdom
DHL Aviation EEMEA B.S.C.(c),ES*,155,DHX,Bahrain
Dniproavia,Z6*,181,UDN,Ukraine
Dragonair,KA,43,HDA,"Hong Kong SAR, China"
Egyptair,MS,77,MSR,Egypt
EL AL,LY,114,ELY,Israel
Emirates,EK,176,UAE,United Arab Emirates
Ethiopian Airlines,ET,71,ETH,Ethiopia
Etihad Airways,EY,607,ETD,United Arab Emirates
Euroatlantic Airways,YU,551,MMZ,Portugal
European Air Transport,QY,615,BCS,Germany
Eurowings,EW,104,EWG,Germany
EVA Air,BR,695,EVA,Chinese Taipei
Federal Express,FX,23,FDX,United States
Fiji Airways,FJ,260,FJI,Fiji
Finnair,AY,105,FIN,Finland
flybe,BE,267,BEE,United Kingdom
flydubai,FZ,141,FDB,United Arab Emirates
FlyEgypt,FT,,FEG,Egypt
Freebird Airlines,FH,None,FHY,Turkey
Garuda,GA,126,GIA,Indonesia
Georgian Airways,A9,606,TGZ,Georgia
Germania,ST,246,GMI,Germany
Gulf Air,GF,72,GFA,Bahrain
Hahn Air,HR*,169,HHN,Germany
Hainan Airlines,HU,880,CHH,China (People's Republic of)
Hawaiian Airlines,HA,173,HAL,United States
Hi Fly,5K,,HFY,Portugal
Hong Kong Airlines,HX,851,CRK,"Hong Kong SAR, China"
Hong Kong Express Airways,UO,128,HKE,"Hong Kong SAR, China"
IBERIA,IB,75,IBE,Spain
Icelandair,FI,108,ICE,Iceland
InselAir,7i,958,INC,Curaçao
Interjet,4O,837,AIJ,Mexico
Iran Air,IR,96,IRA,"Iran, Islamic Republic of"
Iran Aseman Airlines,EP,815,IRC,"Iran, Islamic Republic of"
Israir,6H,818,ISR,Israel
Japan Airlines,JL,131,JAL,Japan
Jazeera Airways,J9,486,JZR,Kuwait
Jet Airways,9W,589,JAI,India
Jet Lite (India) Limited,S2,705,,India
JetBlue,B6,279,JBU,United States
Jordan Aviation,R5,151,JAV,Jordan
JSC Nordavia-RA,5N,316,AUL,Russian Federation
Juneyao Airlines,HO,18,DKH,China (People's Republic of)
Kenya Airways,KQ,706,KQA,Kenya
Kish Air,Y9,780,IRK,"Iran, Islamic Republic of"
KLM,KL,74,KLM,Netherlands
Korean Air,KE,180,KAL,Korea
Kuwait Airways,KU,229,KAC,Kuwait
LACSA,LR,133,LRC,Costa Rica
LAM,TM,68,LAM,Mozambique
Lao Airlines,QV,627,LAO,Lao People's Democratic Republic
LATAM Airlines Argentina,4M,469,DSM,Argentina
LATAM Airlines Brasil,JJ,957,TAM,Brazil
LATAM Airlines Colombia,4C,35,ARE,Colombia
LATAM Airlines Ecuador,XL,462,LNE,Ecuador
LATAM Airlines Group,LA,45,LAN,Chile
LATAM Airlines Paraguay,PZ,692,LAP,Paraguay
LATAM Airlines Peru,LP,544,LPE,Peru
LATAM Cargo Brasil,M3,549,TUS,Brazil
LATAM Cargo Chile,UC,145,LCO,Chile
LATAM Cargo Mexico,M7,865,MAA,Mexico
LIAT Airlines,LI,140,LIA,Antigua and Barbuda
"LLC ""NORD WIND""",N4,216,NWS,Russian Federation
Loong Air,GJ,891,CDC,China (People's Republic of)
LOT Polish Airlines,LO,80,LOT,Poland
Lucky Air,8L,859,LKE,China (People's Republic of)
Lufthansa,LH,220,DLH,Germany
Lufthansa Cargo,LH,20,GEC,Germany
Lufthansa CityLine,CL,683,CLH,Germany
Luxair,LG,149,LGL,Luxembourg
Mahan Air,W5,537,IRM,"Iran, Islamic Republic of"
Malaysia Airlines,MH,232,MAS,Malaysia
Mandarin Airlines,AE,803,MDA,Chinese Taipei
Martinair Cargo,MP,129,MPH,Netherlands
Mauritania Airlines International,L6,495,MAI,Mauritania
MEA,ME,76,MEA,Lebanon
Meridiana fly,IG,191,ISS,Italy
MIAT,OM,289,MGL,Mongolia
Mistral Air,M4,,MSA,Italy
Montenegro Airlines,YM,409,MGX,Montenegro
Myanmar Airways International,8M,599,MMA,Myanmar
Nesma Airlines,NE,477,NMA,Egypt
Nextjet,2N,121,NTJ,Sweden
NIKI,HG,,,Austria
Nile Air,NP,325,NIA,Egypt
Nippon Cargo Airlines (NCA),KZ,933,NCA,Japan
Norwegian Air Shuttle,DY,,,
Nouvelair,BJ,796,LBT,Tunisia
Okay Airways,BK,866,OKA,China (People's Republic of)
Olympic Air,OA,50,OAL,Greece
Oman Air,WY,910,OAS,Oman
Onur Air,8Q,66,OHY,Turkey
Pegasus Airlines,PC,624,PGT,Turkey
PGA-Portugália Airlines,NI,685,PGA,Portugal
Philippine Airlines,PR,79,PAL,Philippines
PIA,PK,214,PIA,Pakistan
Precision Air,PW,31,PRF,"Tanzania, United Republic of"
PrivatAir,PV,,PTI,Switzerland
Qantas,QF,81,QFA,Australia
Qatar Airways,QR,157,QTR,Qatar
Rossiya Airlines,FV,195,SDM,Russian Federation
Royal Air Maroc,AT,147,RAM,Morocco
Royal Brunei,BI,672,RBA,Brunei Darussalam
Royal Jordanian,RJ,512,RJA,Jordan
RwandAir,WB,459,RWD,Rwanda
S7 Airlines,S7,421,SBI,Russian Federation
SAA,SA,83,SAA,South Africa
Safair,FA*,640,SFR,South Africa
Safi Airways,4Q,741,SFW,Afghanistan
Santa Barbara,S3,249,BBR,Venezuela
SAS,SK,117,SAS,Sweden
SATA Air Açores,SP,737,SAT,Portugal
SATA Internacional,S4,331,RZO,Portugal
Saudi Arabian Airlines,SV,65,SVA,Saudi Arabia
Shandong Airlines,SC,324,CDG,China (People's Republic of)
Shanghai Airlines,FM,774,,China (People's Republic of)
Shenzhen Airlines,ZH,479,CSZ,China (People's Republic of)
SIA,SQ,618,SIA,Singapore
SIA Cargo,SQ,,SIA,Singapore
Sichuan Airlines,3U,876,,China (People's Republic of)
Silk Way West Airlines,7L,501,AZG,Azerbaijan
Silkair,MI,629,SLK,Singapore
SKY Airline,H2,605,SKU,Chile
South African Express Airways,XZ,,EXY,South Africa
Southwest Airlines,WN,,,
SriLankan,UL,603,ALK,Sri Lanka
SunExpress,XQ*,564,SXS,Turkey
Surinam Airways,PY,192,SLM,Suriname
SWISS,LX,724,SWR,Switzerland
Syrianair,RB,70,SYR,Syrian Arab Republic
TAAG - Angola Airlines,DT,118,DTA,Angola
TACA,TA,202,TAI,El Salvador
TACA Peru,T0,530,TPU,Peru
TACV Cabo Verde Airlines,VR,696,TCV,Cape Verde
TAME - Linea Aérea del Ecuador,EQ,269,TAE,Ecuador
TAP Portugal,TP,47,TAP,Portugal
TAROM,RO,281,ROT,Romania
Tassili Airlines,SF,515,,Algeria
Thai Airways International,TG,217,THA,Thailand
Thai Lion Air,SL,310,TLM,Thailand
THY - Turkish Airlines,TK,235,THY,Turkey
Tianjin Airlines,GS,826,GCR,China (People's Republic of)
TNT Airways S.A.,3V,756,TAY,Belgium
TransAsia Airways,GE,170,TNA,Chinese Taipei
TUIfly,X3*,617,TUI,Germany
Tunisair,TU,199,TAR,Tunisia
T'way Air,TW,722,,Korea
Ukraine International Airlines,PS,566,AUI,Ukraine
United Airlines,UA,16,UAL,United States
UPS Airlines,5X,406,UPS,United States
Ural Airlines,U6,262,SVR,Russian Federation
UTair,UT,298,UTA,Russian Federation
Uzbekistan Airways,HY,250,UZB,Uzbekistan
Vietjet,VJ,978,VJC,Vietnam
Vietnam Airlines,VN,738,HVN,Vietnam
Virgin America,VX,100,VXX,United Kingdom
Virgin Atlantic,VS,932,VIR,United Kingdom
Virgin Australia,VA,795,VAU,Australia
VLM Airlines,VG,693,VLM,Belgium
Volaris,Y4*,36,VOI,Mexico
Volga-Dnepr Airlines,VI*,412,VDA,Russian Federation
VRG Linhas Aéreas S.A. - Grupo GOL,G3,127,GLO,Brazil
Vueling,VY,30,VLG,Spain
Wamos Air,EB,460,PLM,Spain
WestJet,WS,838,WJA,Canada
White coloured by you,WI,97,WHT,Portugal
Wideroe,WF,701,WIF,Norway
Xiamen Airlines,MF,731,CXA,China (People's Republic of)
Yemenia,IY,635,IYE,Yemen
